Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
What was the reason to shoot Trump💀,reason shoot trump,Negative,NEGATIVE
"That man went on to get the House, Senate, Presidency, Popular vote, and all seven swing states like they&#39;re infinity stones.",man went get house senate presidency popular vote seven swing states like theyre infinity stones,Positive,POSITIVE
I was there,,Neutral,Neutral
Fake.,fake,Negative,NEGATIVE
"If they want you dead, you&#39;re either very good or very bad.   But, we know Trump is not only good, he&#39;s extraordinary!  Congrats President Trump.  We love you!",want dead youre either good bad know trump good hes extraordinary congrats president trump love,Positive,POSITIVE
THAT&#39;S MY PRESIDENT!!!!,thats president,Neutral,POSITIVE
I feel bad for him. “I don’t care who you are. I don’t care what you do for a living. Don’t shoot the president if a country you live in is free”-hardy,feel bad dont care dont care living dont shoot president country live freehardy,Negative,NEGATIVE
He missed.,missed,Negative,NEGATIVE
"Leftists still want to make him the butt of the jokes, shameless",leftists still want make butt jokes shameless,Negative,NEGATIVE
I loved seeing his supporters immediately energized the moment he got up and said fight fight fight. This is when President Donald Trump won the election and when he supporters and non-supporters got pissed off at the establishment,loved seeing supporters immediately energized moment got said fight fight fight president donald trump election supporters nonsupporters got pissed establishment,Positive,NEGATIVE
"That&#39;s when he WON the election...CLINTON NEWS NETWORK CNN had NOT been to ONE of Trump&#39;s rallies UNTIL THIS ONE huh? Like they just knew when Roger Stones house was gonna be raided at 0500, the media some how knew when Mar A Lago was gonna be raided...those that are pulling the strings and making all these things happen well THE AMERICAN PEOPLE ARE WAKING UP! We don&#39;t believe your FAKE PROPAGANDA NEWS anymore, we see how you are weaponizing governments DOJ to get what u want BUT THE BIBLE SAYS those things done in the dark will be brought out into the light and made known !!! God is exposing everything you&#39;re doing😂",thats electionclinton news network cnn one trumps rallies one huh like knew roger stones house gon na raided media knew mar lago gon na raidedthose pulling strings making things happen well american people waking dont believe fake propaganda news anymore see weaponizing governments doj get u want bible says things done dark brought light made known god exposing everything youre,Positive,NEGATIVE
DAMB they missed,damb missed,Negative,NEGATIVE
Fake,fake,Negative,NEGATIVE
"I don&#39;t know, but it looks staged. Notice the WOMAN supposedly shielding him from the front is conveniently shorter (thus unable to protect against any followup shots)... so she won&#39;t be in the way of the cameras getting the pictures.",dont know looks staged notice woman supposedly shielding front conveniently shorter thus unable protect followup shots wont way cameras getting pictures,Positive,NEGATIVE
"Unbelievable, a iconic character forever! No matter how much you hate trump, this character is inspiring forever!",unbelievable iconic character forever matter much hate trump character inspiring forever,Neutral,NEGATIVE
🥰🥰🥰🥰🥰we all love you trump,love trump,Positive,POSITIVE
"Staged much 😂😂, he got a little McDonald’s ketchup",staged much got little mcdonalds ketchup,Neutral,NEGATIVE
"I remember the moment I heard, I was in line to get into a football game. This moment will be shown in history classes.",remember moment heard line get football game moment shown history classes,Neutral,NEGATIVE
"And thats a preiview of life in america for you<a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a>😐",thats preiview life america youa hrefuckszuwhgymbdvujgwifybwafipqipvncaaua,Neutral,NEGATIVE
🎉,,Neutral,Neutral
The election may have been won the instant a bloodied Trump raised his fist and told America to &quot;Fight!&quot;  What an image!,election may instant bloodied trump raised fist told america quotfightquot image,Neutral,NEGATIVE
I love how he felt his ear like &quot;oh. I&#39;ve been shot..&quot; total Olaf moment. Happy he was elected again.,love felt ear like quotoh ive shotquot total olaf moment happy elected,Positive,POSITIVE
That photo will be in history books a century from now,photo history books century,Neutral,POSITIVE
♾,,Neutral,Neutral
Dang it. So close!!!😢😢😢 FDT,dang close fdt,Neutral,NEGATIVE
👜,,Neutral,Neutral
I&#39;ve seen the secret service react faster to a guy throwing shoes. Ffs. They had to be in on it.,ive seen secret service react faster guy throwing shoes ffs,Negative,NEGATIVE
😮,,Neutral,Neutral
Donald Trump Live in all Media watching we LOVE YOU our Super Heroes send by  JESUS Out GOD you are alive for savingUSA❤ my family,donald trump live media watching love super heroes send jesus god alive savingusa family,Positive,POSITIVE
staged. fake fake fake,staged fake fake fake,Negative,NEGATIVE
The WWE scripted 😂😂,wwe scripted,Neutral,NEGATIVE
Divine intervention,divine intervention,Positive,POSITIVE
God Bless President Donald Trump.,god bless president donald trump,Positive,POSITIVE
The people&#39;s champ. USA 🇺🇸,peoples champ usa,Positive,POSITIVE
Hè never got Hurt..... it&#39;s a sceme....,h never got hurt sceme,Positive,POSITIVE
Imagine if someone corned you like that where you actyally got trapped insome security flaw where you needed to protect israel but couldnt because you were under threat from your friend like hypothetically your supporters and englands bad behaviour that threatened the whole thing that israel killed itself because nobody could own up to England and your own Behaviour which needed dealing with as a bigger more pressing security issue and it was all connected somehow and had to shoot yourself as you failed to take presidency upto the inauguration?,imagine someone corned like actyally got trapped insome security flaw needed protect israel couldnt threat friend like hypothetically supporters englands bad behaviour threatened whole thing israel killed nobody could england behaviour needed dealing bigger pressing security issue connected somehow shoot failed take presidency upto inauguration,Negative,NEGATIVE
I wonder what caused that then?,wonder caused,Neutral,POSITIVE
Too slow to protect  the Trump.<br>The bodyguards  were in siesta mode.<br> An embarrassment!<br> Trump protects himself  on his own.<br>  What were they doing?,slow protect trumpbrthe bodyguards siesta modebr embarrassmentbr trump protects ownbr,Positive,NEGATIVE
Trump had it coming!,trump coming,Neutral,POSITIVE
Where was the blood in his hand? He said that his hand was covered in blood.,blood hand said hand covered blood,Positive,NEGATIVE
"Anyone that thinks that assassinating Trump is OK is part of the problem in this country.  It shows how far down this country has fallen in it&#39;s morals, integrity, and loyalties.  You are the problem and threat to Democracy.   Where does it all stop?  If you think it is OK with Trump then it must be OK for you, your family, children and all acquaintances.  You can be  disliked by anyone.  So you would deserve the same from anyone that does not like you.  It just becomes a downward spiral that never ends.  I am 74 and I remember the days of respect for your fellow citizens.  I remember when people would just greet each other walking down the street, not even knowing them.  Or pass them a smile.  Volunteering to help when someone was in need.    Even help stop a fight on the street instead of walking by.  We have sunk to a new low for the past decade for a country.  Unfortunately our young think this is the world as it is.  These attacks become the norm for our young.",anyone thinks assassinating trump ok part problem country shows far country fallen morals integrity loyalties problem threat democracy stop think ok trump must ok family children acquaintances disliked anyone would deserve anyone like becomes downward spiral never ends remember days respect fellow citizens remember people would greet walking street even knowing pass smile volunteering help someone need even help stop fight street instead walking sunk new low past decade country unfortunately young think world attacks become norm young,Negative,NEGATIVE
God bless you my Mister.we have save our president.,god bless misterwe save president,Positive,POSITIVE
"This was staged as hell! But, as long as the gullible MAGA buys it, that´s all that matters 🤣🤣",staged hell long gullible maga buys thats matters,Negative,NEGATIVE
Thank god Donald trump ok,thank god donald trump ok,Positive,POSITIVE
no way trump using the world and make the Bullet not so forced to shot him (he shot him self but Not so hurt),way trump using world make bullet forced shot shot self hurt,Negative,NEGATIVE
GET DOWN MR PRESIDENT,get mr president,Neutral,POSITIVE
Gets shot !  Pumps fist !  Yells Fight Fight Fight ! So BadAss !  And no one headed toward the Exit ! This is America 🇺🇸,gets shot pumps fist yells fight fight fight badass one headed toward exit america,Negative,NEGATIVE
Goofy or Groovy?,goofy groovy,Neutral,POSITIVE
He has bravery of Optimus Prime. Stand up against all odds,bravery optimus prime stand odds,Positive,POSITIVE
Dang!,dang,Neutral,NEGATIVE
😂😂😂😂😂,,Neutral,Neutral
&quot;after shots were heard?&quot; No after Trump was SHOT,quotafter shots heardquot trump shot,Neutral,NEGATIVE
This is when we knew the Democrats were going to play dirty. And it was when Trump won the election.,knew democrats going play dirty trump election,Negative,NEGATIVE
You know after a man still puts his life on the line for his country even after being shot thats how you know this man was made to be president,know man still puts life line country even shot thats know man made president,Neutral,NEGATIVE
This is the day we had the family party... next few days it was all you could hear on the radio,day family party next days could hear radio,Positive,POSITIVE
조선/미제/러연방오빠/미합중국/령국 <br><br>  세계 초강대국,brbr,Neutral,POSITIVE
한반도 평화와 조/미 동맹    조미일러 동맹 하라,,Neutral,Neutral
Very Sad 😢 Bat You Are Win Pm🤲☝️ Congratulations Good Night.,sad bat win pm congratulations good night,Positive,POSITIVE
So many questioned await answers.<br>We deserve answers. Like who was ultimately behind it. <br>God bless President Trump!,many questioned await answersbrwe deserve answers like ultimately behind brgod bless president trump,Positive,NEGATIVE
bro the sound the gun was doing,bro sound gun,Negative,NEGATIVE
They got JFK but they didn&#39;t get Trump. Semper Fi,got jfk didnt get trump semper fi,Neutral,NEGATIVE
January 6th is mentioned more than this,january th mentioned,Neutral,POSITIVE
Airsoft Gun Anyone. &quot;Does someone in fear of their life just get up and pump their fist like a Tool and then make T-shirts of his bloody lip photo Op&quot; No you get out regroup then go get&#39;um. Its not even good writing anymore. &quot;ViACTECAnnex&quot; Protect!!! our future. Let Freedom ring,airsoft gun anyone quotdoes someone fear life get pump fist like tool make tshirts bloody lip photo opquot get regroup go getum even good writing anymore quotviactecannexquot protect future let freedom ring,Positive,NEGATIVE
That’s my President!!🇺🇸🇺🇸🇺🇸🇺🇸,thats president,Neutral,POSITIVE
"and that folks was God sending a clear message to the world He protects those working for His goal.<br>we don&#39;t know what the future brings, but hindsight now being 20/20, everything trump went through...God&#39;s will is both the immovable object and the unstoppable force.<br>my God is good, my God is awesome, my God is Good God Almighy",folks god sending clear message world protects working goalbrwe dont know future brings hindsight everything trump went throughgods immovable object unstoppable forcebrmy god good god awesome god good god almighy,Positive,NEGATIVE
FIGHT FIGHT FIGHT,fight fight fight,Negative,POSITIVE
Chills.,chills,Neutral,NEGATIVE
His defiance spoke volumes that day!!! I&#39;m happy he&#39;s our president again. I can&#39;t take another 4 years of this sh*t.,defiance spoke volumes day im happy hes president cant take another years sht,Positive,POSITIVE
He heard the shot and moved his head to the direction of the shot in an impeccable flow state smooth move that was actually incredibly fast.,heard shot moved head direction shot impeccable flow state smooth move actually incredibly fast,Neutral,POSITIVE
This won him the election.,election,Neutral,POSITIVE
"3 words change the election results .fight, fight, fight",words change election results fight fight fight,Negative,POSITIVE
Proszę  na pelen atak na ukraine  <br>America great again.,prosz na pelen atak na ukraine bramerica great,Positive,POSITIVE
Really soft lowkey modern version of Teddy Roosevelt,really soft lowkey modern version teddy roosevelt,Neutral,POSITIVE
Election over.,election,Neutral,POSITIVE
-Shinzo?<br>-Donald... you must remember your training. Move your head!,shinzobrdonald must remember training move head,Neutral,NEGATIVE
I love positive news stories.,love positive news stories,Positive,POSITIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY"">0:00</a>-<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=5"">0:05</a> &quot;That was the most unkindest cut of all&quot;.",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyaa hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta quotthat unkindest cut allquot,Negative,NEGATIVE
"I&#39;ve watched the video over and over again and I don&#39;t understand where the bullet went... Did it go in his ear and rattle around &quot;?&quot; I still say it was staged same as the supposed second attempt. When REAGAN was shot and wounded there was significantly more angles of the shooting heck they didn&#39;t even show a body bag being lowered from the roof... trump says that 2020 election was rigged and I believe it probably was, by trump and that&#39;s why he got so upset that he didn&#39;t win. So this time he took it to the next level and really fix the vote with Republican votes and stole the election. How else could a close election be so far apart. Remember pillow man got his hands on voting machines after last election",ive watched video dont understand bullet went go ear rattle around quotquot still say staged supposed second attempt reagan shot wounded significantly angles shooting heck didnt even show body bag lowered roof trump says election rigged believe probably trump thats got upset didnt win time took next level really fix vote republican votes stole election else could close election far apart remember pillow man got hands voting machines last election,Negative,NEGATIVE
1963 will repeat itself,repeat,Neutral,NEGATIVE
hate him or love him . the man has balls . And was ready to die for his country,hate love man balls ready die country,Negative,NEGATIVE
"History was almost changed, but God did not allow it.",history almost changed god allow,Positive,NEGATIVE
I&#39;m a bit concerned on if the stray bullets hit anyone,im bit concerned stray bullets hit anyone,Neutral,NEGATIVE
This man nearly got shot...twice and still became the 47th president. What a freaking ledgend,man nearly got shottwice still became th president freaking ledgend,Negative,NEGATIVE
Bro has the aim of a stormtrooper 😂😂,bro aim stormtrooper,Neutral,NEGATIVE
"Who has the biggest ears in the united states yes thats correct barrack Obama, CNN reporter says their like two satellite dishes",biggest ears united states yes thats correct barrack obama cnn reporter says like two satellite dishes,Positive,NEGATIVE
This was the moment Trump won the election.,moment trump election,Neutral,POSITIVE
Chills.,chills,Neutral,NEGATIVE
"He will truly go down as one of the best presidents in history, if not the biggest fighter! God bless America",truly go one best presidents history biggest fighter god bless america,Positive,POSITIVE
The moment Trump was going to win the white house,moment trump going win white house,Positive,POSITIVE
"Thank you Shinzo, you have saved America from collapsing.",thank shinzo saved america collapsing,Positive,POSITIVE
My president!!!!!!!!! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,president,Neutral,POSITIVE
"Dieu aime Donald Trump car c’est une personne intelligente, honnête, humble, qui n’est pas avare, qui ne commet pas l’adultère, etc..<br>Dieu donne des belles récompenses à ce genre de personne..",dieu aime donald trump car cest une personne intelligente honnte humble qui nest pas avare qui ne commet pas ladultre etcbrdieu donne des belles rcompenses ce genre de personne,Neutral,NEGATIVE
This won him the election,election,Neutral,POSITIVE
Bro he really snapped his head to the right right as the trigger was pulled. Idk how people think it’s more likely a coincidence or luck than divine intervention. Honestly we don’t know but as a Christian we know all things good come from god so even if it was wild dumb luck/coincidence gotta thank his still 🙏🫡,bro really snapped head right right trigger pulled idk people think likely coincidence luck divine intervention honestly dont know christian know things good come god even wild dumb luckcoincidence got ta thank still,Positive,POSITIVE
What a badass.,badass,Negative,NEGATIVE
Omg!!!!,omg,Neutral,NEGATIVE
I’m literally flabbergasted that a liberal was bashing a Trump supporter after she found out that he was a ER doctor and was giving medical help to a man that got shot in the stands and she tried to get everyone to find that doctor to try to report him to the medical board and said that he was a danger to patients….how can liberals sleep at night with hate and lies in their rotting souls. A family man lost his life and the ER doctor and paramedics did their hard best to save him. God bless Trump and god bless this man’s family.,im literally flabbergasted liberal bashing trump supporter found er doctor giving medical help man got shot stands tried get everyone find doctor try report medical board said danger patientshow liberals sleep night hate lies rotting souls family man lost life er doctor paramedics hard best save god bless trump god bless mans family,Positive,NEGATIVE
This clips will always give me chills...,clips always give chills,Neutral,POSITIVE
And he won. Third time,third time,Neutral,POSITIVE
This man has strength and courage!!!!!,man strength courage,Positive,POSITIVE
You can legit see the bullet in This clip zoom past trump. Some scary shi,legit see bullet clip zoom past trump scary shi,Negative,POSITIVE
MAGA 🇺🇸,maga,Neutral,NEGATIVE
This is the moment I knew President Trump was going to win…… COURAGE under fire,moment knew president trump going win courage fire,Positive,POSITIVE
This moment made him a total badass,moment made total badass,Negative,NEGATIVE
Trump is the main character of Earth,trump main character earth,Neutral,POSITIVE
Did anyone else get shot?,anyone else get shot,Neutral,NEGATIVE
What a badass,badass,Negative,NEGATIVE
People really wanna say this is fake now. The pitiful cope from the Left is INSANE😂😂,people really wan na say fake pitiful cope left insane,Negative,NEGATIVE
"Should title this, the moment God protected President Trump!",title moment god protected president trump,Positive,POSITIVE
This was fake people need to wake up,fake people need wake,Negative,NEGATIVE
The moment he won,moment,Neutral,POSITIVE
The moment I knew he will be our president...,moment knew president,Neutral,POSITIVE
That pic of him with blood on his face😥🇬🇧🇬🇧🇬🇧,pic blood face,Neutral,NEGATIVE
Badass,badass,Negative,NEGATIVE
I’m not a supporter but the arm thing was cold,im supporter arm thing cold,Positive,NEGATIVE
"watched it happen live, and still get chills when he gets up and says fight and the crowd cheers",watched happen live still get chills gets says fight crowd cheers,Positive,POSITIVE
Most badass thing ive ever seen,badass thing ive ever seen,Negative,NEGATIVE
"If anyone who hasn’t watched the Flagrant podcast where he explains this situation. Just know we are absolutely lucky to have him alive, pure miracle.",anyone hasnt watched flagrant podcast explains situation know absolutely lucky alive pure miracle,Positive,POSITIVE
"If anyone who hasn’t watched the Flagrant podcast where he explains this situation. Just know we are absolutely lucky to have him alive still, pure miracle.",anyone hasnt watched flagrant podcast explains situation know absolutely lucky alive still pure miracle,Positive,POSITIVE
This won him the election! This man has came back from so much it’s crazy,election man came back much crazy,Negative,NEGATIVE
And in that precise moment... he won the presidency!... Go Trump!,precise moment presidency go trump,Neutral,POSITIVE
The baddest man on planet… He is built different… The Real Macho Man,baddest man planet built different real macho man,Neutral,NEGATIVE
Whatever happen to the full investigation?,whatever happen full investigation,Neutral,NEGATIVE
Team is fake,team fake,Negative,NEGATIVE
It’s fake because nothing happened to the people behind him,fake nothing happened people behind,Negative,NEGATIVE
The moment the election was won.<br> <br>You can&#39;t stump the Trump 💪😤🇺🇲🇺🇲🇺🇲,moment election wonbr bryou cant stump trump,Neutral,POSITIVE
Staged. 2 sacrifices,staged sacrifices,Neutral,NEGATIVE
😂😆🤣,,Neutral,Neutral
you learn a lot about a person… God bless America 🇺🇸🇺🇸🇺🇸,learn lot person god bless america,Positive,POSITIVE
Ouch,ouch,Neutral,NEGATIVE
This gives new meaning to Donald Duck.,gives new meaning donald duck,Neutral,POSITIVE
He missed 😔,missed,Negative,NEGATIVE
Ngl that was badass,ngl badass,Negative,NEGATIVE
Trump was miraculously saved,trump miraculously saved,Positive,POSITIVE
"Imagine if this would’ve never happened, we could be living in a world where Joe Biden never dropped out and won reelection.",imagine wouldve never happened could living world joe biden never dropped reelection,Neutral,POSITIVE
Very nice show!),nice show,Positive,POSITIVE
"He&#39;s not lucky, he&#39;s blessed.",hes lucky hes blessed,Positive,POSITIVE
Kamala had her bluetooth earrings. Trumo shoulda gotten those bullet proof earrings 😂,kamala bluetooth earrings trumo shoulda gotten bullet proof earrings,Neutral,NEGATIVE
sigma,sigma,Neutral,POSITIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=2"">0:02</a> the exact time trump moved his head at the last second",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta exact time trump moved head last second,Neutral,NEGATIVE
"if he wasn&#39;t turned to his right looking at that immigration board. it&#39;s just too eerie to not be a miracle, I&#39;m sorry. I know someone&#39;s going to say &quot;well someone died&quot;.",wasnt turned right looking immigration board eerie miracle im sorry know someones going say quotwell someone diedquot,Positive,NEGATIVE
Everyone cheering for the president mean while innocent people died,everyone cheering president mean innocent people died,Positive,NEGATIVE
Fake,fake,Negative,NEGATIVE
Trump Trump Trump!,trump trump trump,Neutral,POSITIVE
Hi,hi,Neutral,POSITIVE
crazy how this was just 4 months ago,crazy months ago,Negative,NEGATIVE
This<br>Man<br>Is<br>A<br>BADASS<br><br>REGARDS FROM BRAZIL,thisbrmanbrisbrabrbadassbrbrregards brazil,Neutral,NEGATIVE
Luckily he was survived than shinzo Abe who was unluckily shot on last 2 years ago,luckily survived shinzo abe unluckily shot last years ago,Positive,NEGATIVE
Fight fight fight. And with this he won election. 😍,fight fight fight election,Negative,POSITIVE
i cried. horrible people,cried horrible people,Negative,NEGATIVE
"If you come for the King, you best not miss.",come king best miss,Positive,POSITIVE
The canon event of our timeline.,canon event timeline,Neutral,POSITIVE
He won the election on that day.,election day,Neutral,POSITIVE
I was so proud of this man on this day I can’t even explain,proud man day cant even explain,Positive,POSITIVE
Goosebumps,goosebumps,Neutral,POSITIVE
Election won right here no doubt. America had enough right here,election right doubt america enough right,Negative,NEGATIVE
Mt Rushmore is now operating one in one out policy.,mt rushmore operating one one policy,Neutral,POSITIVE
"ngl if this is the most gangsta things in the 21st century, I don&#39;t know what is",ngl gangsta things st century dont know,Neutral,NEGATIVE
"Watch again. <br><br>Not that it matters, but he actually moved into the trajectory of the bullet with his last instant head turn.",watch brbrnot matters actually moved trajectory bullet last instant head turn,Positive,POSITIVE
The moment when Trump won the election.,moment trump election,Neutral,POSITIVE
All the idiots thinking this was fake 😂😂😂<br><br>President Putin a ex KGB agent &amp; gangster even literally said how much he respected Trump after this &amp; Putin would have definitely called this out as being fake if it was 🙄💯<br><br>Not to mention everyone whos calling this fake are all spoiled lil brats of Americans that live boring ass lives &amp; would never think this could ever happen to them because they&#39;re minds are so used to being dull &amp; boring so they can&#39;t handle anything real when it finally happens 😂😂😂 <br><br>just look at how all of them are reacting over Trump&#39;s win 😂😂😂😂<br><br>Nuff said🙄🥱<br><br>If you&#39;re a real one then give this a hundred likes for our Prez &amp; our country 💯❤️🇺🇲,idiots thinking fake brbrpresident putin ex kgb agent amp gangster even literally said much respected trump amp putin would definitely called fake brbrnot mention everyone whos calling fake spoiled lil brats americans live boring ass lives amp would never think could ever happen theyre minds used dull amp boring cant handle anything real finally happens brbrjust look reacting trumps win brbrnuff saidbrbrif youre real one give hundred likes prez amp country,Negative,NEGATIVE
It&#39;s already 5 months ago,already months ago,Neutral,NEGATIVE
THATS MY MF PRESIDENT,thats mf president,Neutral,POSITIVE
Incredible bravery and toughness by our President!!!!,incredible bravery toughness president,Positive,POSITIVE
Well at least he survived TRUMP <br>2024,well least survived trump br,Negative,NEGATIVE
Sad 😢,sad,Negative,NEGATIVE
Since that day we already knew the next president.,since day already knew next president,Neutral,POSITIVE
Gangsta move for sure 👍,gangsta move sure,Positive,POSITIVE
Who would shoot Donald trump?,would shoot donald trump,Negative,NEGATIVE
I’m here for a good laugh.,im good laugh,Positive,POSITIVE
"I&#39;m not a Trump supporter, nor a Kamala one for that matter, but this was the moment I knew this man had won the election.",im trump supporter kamala one matter moment knew man election,Positive,NEGATIVE
Such a gangster hahahahha,gangster hahahahha,Neutral,NEGATIVE
4 months ago today.,months ago today,Neutral,POSITIVE
"He’s an icon, literally got right back up to show everyone he was okay, it’s amazing people thought this was staged, you really think Trump would agree to have a bullet fired that close to his skull with the idea “oh yea just hit my ear.” Unbelievable people were believing that nonsense for a bit, shows the intelligence of the left, after all he’s been through the slander and literal shooting, dude has earned this second term in the White House far more than Biden or Kamala ever would",hes icon literally got right back show everyone okay amazing people thought staged really think trump would agree bullet fired close skull idea oh yea hit ear unbelievable people believing nonsense bit shows intelligence left hes slander literal shooting dude earned second term white house far biden kamala ever would,Positive,NEGATIVE
😂😂😂,,Neutral,Neutral
"I&#39;m still shocked CNN didn&#39;t accuse trump of inciting a riot here, chanting &quot;fight!&quot;. I really thought they&#39;d accuse trump of criminal behavior here.",im still shocked cnn didnt accuse trump inciting riot chanting quotfightquot really thought theyd accuse trump criminal behavior,Negative,NEGATIVE
Female secret service 😂 I can’t holy shit a woman protecting a man is just goofy to me.,female secret service cant holy shit woman protecting man goofy,Positive,NEGATIVE
"That is a man...Even after he got shot, still says Fight fight fight...America First....",maneven got shot still says fight fight fightamerica first,Negative,POSITIVE
I come here to watch the guy in the back,come watch guy back,Neutral,POSITIVE
Still hard to watch,still hard watch,Negative,POSITIVE
This was an op that failed l..,op failed l,Negative,NEGATIVE
"what took the secret service sooo long , Trump went down to the ground alllll by himself, HE praises them, I do NOT.",took secret service sooo long trump went ground alllll praises,Positive,POSITIVE
Race is over<br>Right there.,race overbrright,Neutral,NEGATIVE
I feel that Devine intervention saved Trump. God knew we needed him to save our country.,feel devine intervention saved trump god knew needed save country,Positive,POSITIVE
"Those agents screwed up royally. Besides not noticing the gunman, they took thier sweet time getting Trump off the stage. The pre-DEI agents would of grabbed Trump by the back of his belt and dragged him off the stage, regardless if Trump wanted to stop or not. The DEI agents actually opened Trump to a possible second gunmen.",agents screwed royally besides noticing gunman took thier sweet time getting trump stage predei agents would grabbed trump back belt dragged stage regardless trump wanted stop dei agents actually opened trump possible second gunmen,Negative,NEGATIVE
"This is my president, trump the rough rider of our great nation",president trump rough rider great nation,Positive,POSITIVE
